Location,Post_Office,Postcode,State
Taman Jawi Matang,Kangar,01000,Perlis
Taman Jaya,Kangar,01000,Perlis
Taman Jaya Diri,Kangar,01000,Perlis
Taman Jejawi,Kangar,01000,Perlis
Taman Jelati,Kangar,01000,Perlis
Taman Kangar,Kangar,01000,Perlis
Taman Kastam,Kangar,01000,Perlis
Taman Kayangan Indah,Kangar,01000,Perlis
Taman Kechor Indah,Kangar,01000,Perlis
Taman Kechor Jaya,Kangar,01000,Perlis
Taman Kecor Indah,Kangar,01000,Perlis
Taman Kemajuan,Kangar,01000,Perlis
Taman Kenanga,Kangar,01000,Perlis
Taman Koperasi,Kangar,01000,Perlis
Taman Lewata,Kangar,01000,Perlis
Kampung Behor Empiang,Kangar,01000,Perlis
Kampung Behor Inai,Kangar,01000,Perlis
Kampung Behor Janggus,Kangar,01000,Perlis
Kampung Behor Kebal,Kangar,01000,Perlis
Kampung Behor Pulai,Kangar,01000,Perlis
Kampung Behor Temak,Kangar,01000,Perlis
Kampung Belangga Pudak,Kangar,01000,Perlis
Kampung Belat Santan,Kangar,01000,Perlis
Kampung Belukar (Kangar),Kangar,01000,Perlis
Kampung Bendang Baru,Kangar,01000,Perlis
Kampung Binjal,Kangar,01000,Perlis
Kampung Bintong,Kangar,01000,Perlis
Kampung Bohor Chichar,Kangar,01000,Perlis
Kampung Bohor Gandil,Kangar,01000,Perlis
Kampung Bohor Gelam,Kangar,01000,Perlis
Kampung Bohor Goncar,Kangar,01000,Perlis
Kampung Bohor Inai,Kangar,01000,Perlis
Kampung Bohor Temak,Kangar,01000,Perlis
Kampung Bukit Besi Hangit,Kangar,01000,Perlis
Kampung Bukit Kecil,Kangar,01000,Perlis
Kampung Bunga Pudak,Kangar,01000,Perlis
Kampung Dagang,Kangar,01000,Perlis
Kampung Dasri,Kangar,01000,Perlis
Kampung Datuk,Kangar,01000,Perlis
Kampung Guar Syed Alwi,Kangar,01000,Perlis
Kampung Guar Ujung Batu,Kangar,01000,Perlis
Kampung Gunong,Kangar,01000,Perlis
Kampung Guru,Kangar,01000,Perlis
Kampung Haji Daud,Kangar,01000,Perlis
Kampung Hutan Buluh,Kangar,01000,Perlis
Kampung Hutan Melintang,Kangar,01000,Perlis
Kampung Jarak,Kangar,01000,Perlis
Kampung Jejawi Dalam,Kangar,01000,Perlis
Kampung Jejawi Sematang,Kangar,01000,Perlis
Kampung Kechor,Kangar,01000,Perlis
Kampung Keranji,Kangar,01000,Perlis
Kampung Kota,Kangar,01000,Perlis
Kampung Kota Keran,Kangar,01000,Perlis
Kampung Kota Ulu,Kangar,01000,Perlis
Kampung Kubang Arang,Kangar,01000,Perlis
Kampung Kubang Badak,Kangar,01000,Perlis
Kampung Kubang Cekuang,Kangar,01000,Perlis
Kampung Kubang Gajah,Kangar,01000,Perlis
Kampung Kurung Batang,Kangar,01000,Perlis
Kampung Lin,Kangar,01000,Perlis
Kampung Masjid (Kangar),Kangar,01000,Perlis
Kampung Mengkuang Layar,Kangar,01000,Perlis
Kampung Nissam,Kangar,01000,Perlis
Kampung Nyak Adam,Kangar,01000,Perlis
Kampung Padang Behor,Kangar,01000,Perlis
Kampung Padang Jawa Seriab,Kangar,01000,Perlis
Kampung Padang Katong,Kangar,01000,Perlis
Kampung Padang Kedepiang,Kangar,01000,Perlis
Kampung Padang Machang,Kangar,01000,Perlis
Kampung Padang Nyaring,Kangar,01000,Perlis
Kampung Padang Pauh,Kangar,01000,Perlis
Kampung Padang Petani,Kangar,01000,Perlis
Kampung Padang Seberang,Kangar,01000,Perlis
Kampung Panggau,Kangar,01000,Perlis
Kampung Parit Jari,Kangar,01000,Perlis
Kampung Penghulu Bakar,Kangar,01000,Perlis
Kampung Pengkalan Asam,Kangar,01000,Perlis
Kampung Peseri,Kangar,01000,Perlis
Kampung Petai,Kangar,01000,Perlis
Kampung Petai Hilir,Kangar,01000,Perlis
Kampung Pokok Jawi,Kangar,01000,Perlis
Kampung Pondok,Kangar,01000,Perlis
Kampung Pulau,Kangar,01000,Perlis
Kampung Repoh,Kangar,01000,Perlis
Kampung Repoh Dagang,Kangar,01000,Perlis
Kampung Salang,Kangar,01000,Perlis
Kampung Santan,Kangar,01000,Perlis
Kampung Santan Aur,Kangar,01000,Perlis
Kampung Santan Belat,Kangar,01000,Perlis
Kampung Santan Enam,Kangar,01000,Perlis
Kampung Santan Masjid,Kangar,01000,Perlis
Kampung Sempering,Kangar,01000,Perlis
Kampung Sena,Kangar,01000,Perlis
Kampung Sena Sematang,Kangar,01000,Perlis
Kampung Sentang,Kangar,01000,Perlis
Kampung Sentua,Kangar,01000,Perlis
Kampung Seriab,Kangar,01000,Perlis
Kampung Sungai Bakong,Kangar,01000,Perlis
Kampung Sungai Baru,Kangar,01000,Perlis
Kampung Sungai Santan,Kangar,01000,Perlis
Kampung Sungai Siran,Kangar,01000,Perlis
Kampung Surau,Kangar,01000,Perlis
Kampung Syed Umar,Kangar,01000,Perlis
Kampung Tanjung,Kangar,01000,Perlis
Kampung Tanjung Buluh,Kangar,01000,Perlis
Kampung Tanjung Gorah,Kangar,01000,Perlis
Kampung Tanjung Sila,Kangar,01000,Perlis
Kampung Tebing Tinggi,Kangar,01000,Perlis
Kampung Telaga Idi,Kangar,01000,Perlis
Kampung Telaga Nyiur Manis,Kangar,01000,Perlis
Kampung Telok Epa,Kangar,01000,Perlis
Kampung Telok Gelam,Kangar,01000,Perlis
Kampung Telok Jambu,Kangar,01000,Perlis
Kampung Telok Kacang,Kangar,01000,Perlis
Kampung Telok Tui,Kangar,01000,Perlis
Taman Lima Naleh,Kangar,01000,Perlis
Taman Mada Sepakat,Kangar,01000,Perlis
Taman Mas Muda,Kangar,01000,Perlis
Taman Mas Putra,Kangar,01000,Perlis
Taman Mas Ria,Kangar,01000,Perlis
Taman Medan Sepakat,Kangar,01000,Perlis
Taman Merpati,Kangar,01000,Perlis
Taman Mesra,Kangar,01000,Perlis
Taman Mesra Jejawi,Kangar,01000,Perlis
Taman Mewah,Kangar,01000,Perlis
Taman Muda Sepakat,Kangar,01000,Perlis
Taman Murni,Kangar,01000,Perlis
Taman Mutiara,Kangar,01000,Perlis
Taman Norma,Kangar,01000,Perlis
Taman Peduka,Kangar,01000,Perlis
Taman Pekeliling,Kangar,01000,Perlis
Taman Pengkalan Assam,Kangar,01000,Perlis
Taman Pengkalan Indah,Kangar,01000,Perlis
Taman Perlis,Kangar,01000,Perlis
Taman Permai,Kangar,01000,Perlis
Taman Pertama,Kangar,01000,Perlis
Taman Pertiwi Indah,Kangar,01000,Perlis
Taman Pertiwi Seriab,Kangar,01000,Perlis
Taman Putera,Kangar,01000,Perlis
Taman Putra Putri,Kangar,01000,Perlis
Taman Rasa Sayang,Kangar,01000,Perlis
Taman Repoh,Kangar,01000,Perlis
Taman Repoh Indah,Kangar,01000,Perlis
Taman Repoh Jaya,Kangar,01000,Perlis
Taman Sena,Kangar,01000,Perlis
Taman Sena Indah,Kangar,01000,Perlis
Taman Sena Permai,Kangar,01000,Perlis
Taman Sentua,Kangar,01000,Perlis
Taman Sepadu,Kangar,01000,Perlis
Taman Sepadu 1,Kangar,01000,Perlis
Taman Seri Bahagia,Kangar,01000,Perlis
Taman Seri Embun,Kangar,01000,Perlis
Taman Seri Idaman,Kangar,01000,Perlis
Taman Seri Intan,Kangar,01000,Perlis
Taman Seri Manis,Kangar,01000,Perlis
Taman Seri Medan,Kangar,01000,Perlis
Taman Seri Murni,Kangar,01000,Perlis
Taman Seri Pilihan,Kangar,01000,Perlis
Taman Seri Puchong,Kangar,01000,Perlis
Taman Seri Pulai 4,Kangar,01000,Perlis
Taman Seri Tanjung,Kangar,01000,Perlis
Taman Seriab,Kangar,01000,Perlis
Taman Setia Utama,Kangar,01000,Perlis
